"aceferu","Economics and Management State Academy of Far East"
"acehiin","Institut Aceh"
"aceiiea","Association for Cultural Economics International - ACEI"
"acepagh","Africa Center for Energy Policy (ACEP)"
"acerhau","Australian Centre for Economic Research on Health (ACERH)"
"acerral","Albanian Center for Economic Research (ACER)"
"acessea","Association for Comparative Economic Studies - ACES"
"acetagh","African Center for Economic Transformation (ACET)"
"acetufi","Aboa Centre for Economics (ACE)"
"acfeaea","Asian Consumer and Family Economics Association - ACFEA"
"acfinvn","Academy of Finance"
"acfranz","Auckland University of Technology"
"acheeea","Colombian Association of Economic History"
"aciarau","Australian Centre for International Agricultural Research (ACIAR)"
"acittea","Academic Consortium on International Trade - ACIT"
"aciuaus","University of Alabama-Tuscaloosa"
"aclawat","University of Linz"
"acmgvnl","Government of the Netherlands"
"acntusg","Nanyang Technological University"
"acodeug","Advocates Coalition for Development and Environment (ACODE)"
"acogvfr","Government of France"
"acogvpt","Government of Portugal"
"acsgvlb","Government of Lebanon"
"acsjtcn","Shanghai Jiao Tong University"
"acsprgr","Academy of Social and Political Research"
"actamus","Texas A&M University"
"actgvit","Government of Italy"
"acuabus","Alabama Council on Economic Education (ALCEE)"
"acucsus","University of California-Santa Cruz (UCSC)"
"acutsau","University of Technology Sydney"
"acuvanl","University of Amsterdam"
"acvtgus","Government of Vermont"
"adagvam","Government of Armenia"
"adamspl","Adam Smith Center"
"adbinjp","Asian Development Bank"
"adcedae","Government of Abu Dhabi"
"adclmes","University of Castilla La Mancha"
"adcucgh","Central University College"
"adecaus","Adaptative Economics Association"
"adeeeea","Association for Documentation in Economics - ADE"
"adegvnc","Government of New Caledonia"
"adfiees","IE University"
"adheeea","Association for the Developemt of Economic History"
"adisein","Institute for Social and Economic Change (ISEC)"
"adpsufr","Université Paris-Saclay"
"adregea","Association for the Dissemination of Entrepreneurship Research"
"adresea","Association for the Development of Research on Economics and Statistics"
"adripin","Asian Development Research Institute (ADRI)"
"adrrigh","Africa Development and Resources Research Institute (ADRRI)"
"adruccn","Renmin University of China"
"adsmaae","Abu Dhabi School of Management"
"adsriau","Australian National University"
"aduices","International University of Catalonia"
"adutlpt","University of Lisbon"
"aeaa2ea","Applied Econometrics Association"
"aeaaaea","American Economic Association - AEA"
"aeaagea","Association of Agricultural Economists"
"aeadeea","Euro-American Association of Economic Development Studies"
"aeaggea","Agricultural Economics Association of Georgia - AEAG"
"aeagvbg","Government of Bulgaria"
"aealcea","Association of Economists of Latin America and the Caribbean"
"aeandus","Andrews University"
"aeargus","Government of Arkansas"
"aeasaea","Agricultural Economics Association of South Africa - AEASA"
"aeasero","Bucharest Academy of Economic Studies"
"aeaubbg","American University in Bulgaria"
"aebcabw","Botswana College of Agriculture"
"aecaaea","Spanish Association for Accounting and Business Administration"
"aecccea","Swiss Association for Construction Economics"
"aecedar","Center for the Study of State and Society"
"aechutw","National Chung-Hsing University"
"aeclmes","University of Castilla La Mancha"
"aecnges","Government of the Canary Islands"
"aeconea","Congolese Economic Association"
"aecrcea","Association of Critical Economics"
"aecrrea","Spanish Association for Regional Science"
"aecuaco","American University Corporation"
"aecvunl","VU University Amsterdam"
"aedddea","Economic and Development Analysis"
"aedeeea","Economics of Education Association"
"aedemea","European Academy of Management and Business Economics"
"aedsbea","Association for Economic and Development Studies on Bangladesh - AEDSB"
"aeeaaea","Spanish Agricultural Economics Association"
"aeeeeea","Spanish Economic Association"
"aeefaea","European-Asian Economics, Finance, Econometrics and Accounting Science Association - EAEFEASA"
"aeefiea","Spanish Association for International Economics and Finance"
"aeeiees","IE University"
"aeettea","Spanish Association for Labor Economics"
"aeeurnl","Erasmus University of Rotterdam"
"aeexeuk","University of Exeter"
"aeffeea","Academy of Economics and Finance - AEF"
"aefffea","Association for Financial Economics"
"aeffmde","Goethe University Frankfurt"
"aefppea","Association for Education Finance and Policy - AEFP"
"aeftlus","Fort Lewis College"
"aefvuru","Voronezh State Agricultural University"
"aeheeea","Spanish Association for Economic History"
"aehnnea","African Economic History Network - AEHN"
"aeideea","Workgroup on European Integration"
"aeiiius","American Enterprise Institute"
"aeiummy","University of Malaya"
"aejhuus","Johns Hopkins University"
"aejnkin","Jawaharlal Nehru Agriculture University"
"aekarin","University of Kerala"
"aekarpk","University of Karachi"
"aekaspk","Khadim Ali Shah Bukhari Institute of Technology (KASBIT)"
"aekatpl","Katowice University of Economics"
"aekrapl","Cracow University of Economics"
"aekubnl","Tilburg University"
"aelacea","Latin-American and Caribbean Economic Association - LACEA"
"aelinnz","Lincoln University"
"aemelau","University of Melbourne"
"aemgvau","Government of Australia"
"aencctw","National Chengchi University"
"aengsar","General Sarmiento National University"
"aenmsus","New Mexico State University"
"aenswau","Government of New South Wales"
"aenyuus","New York University (NYU)"
"aeoksus","Oklahoma State University"
"aeolsch","Olsen Ltd."
"aepdxus","Portland State University"
"aepppea","Association for Political Economy"
"aeraiea","Agricultural Economics Research Association (India) - AERA"
"aerccke","African Economic Research Consortium"
"aereeea","Association of Environmental and Resource Economists - AERE"
"aerigeg","Agricultural Research Center (ARC)"
"aeriijp","Akita Economic Research Institute (AERI)"
"aerintr","Agricultural Economic and Policy Development Institute"
"aernaea","Hispano-Portuguese Association for Resource and Environmental Economics"
"aeruccn","Renmin University of China"
"aerudin","University of Delhi"
"aerwbus","World Bank Group"
"aesaaea","Association for Economic and Social Analysis - AESA"
"aesarea","Argentinian Health Economics Association"
"aesebpt","AESE Business School"
"aesffea","Association for Social Studies of Finance"
"aesjjea","Agricultural Economics Society of Japan - AESJ"
"aesruea","Association of European Studies - AES"
"aesssea","Spanish Health Economics Association"
"aesstea","Asian Economic and Social Society - AESS"
"aesuatz","Sokoine University of Agriculture"
"aesukea","Agricultural Economics Society - AES"
"aesuqau","University of Queensland"
"aeuemes","European University of Madrid"
"aeuerit","European University of Rome"
"aeuidus","University of Idaho"
"aeumbca","University of Manitoba"
"aeumnus","University of Minnesota-St. Paul"
"aewcgza","Government of Western Cape"
"aewropl","Wroclaw University of Economics"
"afaaaea","American Finance Association - AFA"
"afbmnea","Australasian Farm Business Management Network - AFBM"
"afcccea","French Cliometrics Association"
"afdbgci","African Development Bank"
"afdgvfr","Government of France"
"afdieea","Association Française pour le Développement de l'Intelligence Économique - AFDIE"
"afeaaea","African Finance and Economics Association - AFEA"
"afedeea","French Association of Business Economists"
"afeeeea","Association for Evolutionary Economics - AFEE"
"afeexea","French Experimental Economics Association"
"afeieea","Association of Latin American Economics Faculties, Schools and Institutes"
"afeppea","French Political Economy Association"
"aferrea","Associazione-Fondazione EconomiaReale - ER"
"afesdkw","Arab Fund for Econimic and Social Development (AFESD)"
"afessea","African Econometric Society - AES"
"afeurnl","Erasmus University of Rotterdam"
"affaaea","African Finance Association - AFA"
"afffmde","Goethe University Frankfurt"
"affiiea","French Finance Association"
"affinin","Affinity Business School"
"afheeea","French Association for Economic History"
"afhseru","National Research University Higher School of Economics"
"afigvfr","Government of France"
"afiklmy","Alliance for Financial Inclusion"
"afippar","Government of Argentina"
"afittea","Association for Institutional Thought - AFIT"
"afmakea","African Farm Management Association - AFMA"
"afmbsch","University of Basel"
"afmcnus","McNeese State University"
"afmgvnl","Government of the Netherlands"
"afmgvua","Government of Ukraine"
"afmkyua","Academy of Financial Monitoring"
"afngvkz","Government of Kazakhstan"
"afraaea","Accounting and Finance Research Association - AFRA"
"afrearu","Plekhanov Russian University of Economics"
"afresea","African Real Estate Society - AFRES"
"afrgrza","Africagrowth Institute"
"afrinza","University of Pretoria"
"afrisml","Economic and Statistical Observatory of Subsaharian Africa"
"afsaxnl","Saxion University of Applied Sciences"
"afseeea","African Society for Ecological Economics"
"afsocea","Asian Financial Society - AFS"
"afsssea","Academy of Financial Services - AFS"
"aftamus","Texas A&M University"
"afutdus","University of Texas-Dallas"
"afwbsuk","University of Warwick"
"agasbec","Simon Bolivar Andine University"
"agbocus","Boston College"
"agcgvit","Government of Italy"
"agcvunl","VU University Amsterdam"
"agdiycm","African Governance and Development Institute (AGDI)"
"ageieea","Association of European Business Economics Lawyers"
"agendat","Agenda Austria"
"agerrea","General Association of Economists of Romania"
"agfffea","French Financial Management Association"
"agfffuk","Anglo-German Foundation for the Study of Industrial Society (AGF)"
"agffmde","Goethe University Frankfurt"
"agfgvit","Government of Italy"
"agngvit","Government of Italy"
"agpgvpk","Government of Pakistan"
"agrgvca","Government of Canada"
"agrhuil","Hebrew University of Jerusalem"
"agsmmgr","Athens Graduate School of Management"
"aguclus","University of California-Los Angeles (UCLA)"
"agulfea","Association of Gulf Economists - AGE"
"agulmde","University of Ulm"
"aheigea","AcademyHealth Health Economics Interest Group"
"ahessea","Australian Health Economics Society - AHES"
"ahetcea","Association for Heterodox Economics - AHE"
"ahibmcm","Achas Higher Institute of Business Management"
"ahittee","Tallinn University of Technology"
"ahrgvus","Government of the United States"
"ahuriau","Australian Housing and Urban Research Institute (AHURI)"
"ahwimau","Australian Health Workforce Institute (AHWI)"
"aiaecng","African Institute for Applied Economics (AIAE)"
"aiaruuk","Anglia Ruskin University"
"aiauegr","Athens University of Economics and Business (AUEB)"
"aibadau","Australian Institute of Business"
"aicarin","Asian Institute of Communication and Research (AICAR) Business School"
"aiccoea","Italian Association for the Culture of Cooperation and Non-Profit"
"aideaea","Italian Academy for Business Economics"
"aideiea","International Association of Italian Economists"
"aidgvau","Government of Australia"
"aidgvus","Government of the United States"
"aiea2ea","Association Internationale d'Economie Alimentaire et Agroindustrielle - AIEA2"
"aieaaea","Italian Association of Agricultural and Applied Economics"
"aiearea","Italian Association of Environmental and Resource Economists"
"aieeeea","Italian Association for Energy Economics"
"aiellea","Italian Association for Labor Economics"
"aierrus","American Institute for Economic Research"
"aiesiea","Italian Association for Health Economics"
"aiessea","Association of Indian Economic and Financial Studies - AIEFS"
"aifeeus","American Institute for Full Employment (AIFE)"
"aiffaza","Africa Institute for Forecasting and Financial Analysis (AIFFA)"
"aifmrza","University of Cape Town"
"aighdnl","Amsterdam Institute for Global Health and Development"
"aiibbcn","Asian Infrastructure Investment Bank"
"aiimmnl","Amsterdam Institute for International Development (AIID)"
"ailwwea","Association Internationale Léon Walras"
"aim6pma","Mohammed VI Polytechnic University"
"aimssca","Atlantic Institute for Market Studies"
"aimudin","Aishwarya Institute of Management"
"aipaaza","Africa Institute for Policy Analysis and Economic Integration (AIPA)"
"aipppus","Allegheny Institute for Public Policy"
"aiprgam","Armenian International Policy Research Group (AIPRG)"
"aiprgus","Armenian International Policy Research Group (AIPRG)"
"airefes","Government of Spain"
"airleea","Association for Integrity and Responsible Leadership in Economics and Associated Professions - AIRLEAP"
"aisepea","Italian Association for the History of Political Economy"
"aispeea","Italian Association for the History of Economic Thought"
"aisreea","Italian Association for Regional Science"
"aisseea","Italian Association for the Study of Comparative Economic Systems"
"aitasau","University of Tasmania"
"aiuvanl","University of Amsterdam"
"aiuwsau","Australian National University"
"ajrccau","Australian National University"
"akbbbea","Brazilian Keynesian Association"
"akessea","Association of Korean Economics Studies - AKES"
"akfffdk","Danish Institute of Governmental Research"
"akgoval","Government of Albania"
"akidlph","De La Salle University"
"akiiihu","Research Institute of Agricultural Economics"
"akpolea","Political Economy Workgroup"
"akroaea","Scientific Society for the Promotion and Advancement of Social Sciences - Akroasis"
"akwiiea","Workgroup on Computational Economics at Technical Universities"
"alabdet","Amhara Leadership Academy"
"aladiuy","Latin American Association for Economic Integration"
"albaagr","Athens Laboratory of Business Administration (ALBA)"
"albaggr","American College of Greece"
"albhsdk","Aalborg Business College"
"aldedca","Government of Alberta"
"aldesea","Free Association of Economics"
"aleaaea","American Law and Economics Association - ALEA"
"alearea","Latin American and Caribbean Association of Environmental and Human Resource Economists"
"alfagbr","Alves Faria Faculties"
"alhamus","Hamilton College"
"alidepe","Latin American Association of Development Financing Institutions"
"alkulbe","University of Leuven"
"allabca","Government of Alberta"
"allbsin","Alliance University"
"allenus","Ethan Allen Institute"
"allhsde","Allensbach Univeristy"
"alninno","Norwegian Institute for Nature Research"
"alqasae","Sheikh Saud bin Saqr Al Qasimi Foundation for Policy Research"
"alranru","Russian Presidential Academy of National Economy and Public Administration (RANEPA)"
"altreca","Government of Alberta"
"aluwitt","University of the West Indies"
"amakyua","Academy of Municipal Administration"
"amamsam","Armenian State University of Economics (ASUE)"
"amcgvmo","Monetary and Foreign Exchange Authority of Macao"
"amcisnl","University of Amsterdam"
"amcolus","American College of Financial Services"
"amdgvse","Government of Sweden"
"ameeeea","Mexican Association of Energy Economics"
"amexpus","Center of the American Experiment"
"amfetea","Association for Modelling and Forecasting Economies in Transition - AMFET"
"amfffae","Arab Monetary Fund (AMF)"
"amffmde","Goethe University Frankfurt"
"amgeide","Geisenheim University"
"amgovdk","Government of Denmark"
"amheeea","Mexican Association of Economic History"
"amieeea","Association for Mentoring and Inclusion in Economics - AMIE"
"aminyus","American Monetary Institute"
"ammmmea","Academy of Management"
"amogvsk","Government of Slovakia"
"amprbby","Academy of Public Administration under the Aegis of the President of the Republic of Belarus"
"amrgvcn","Government of China"
"amrossg","ASEAN+3 Macroeconomic Research Office (AMRO)"
"amseafr","Aix-Marseille University"
"amsgvus","Government of the United States"
"amurefr","AMURE Centre for Law and Economics of the Sea"
"amurlmn","Academy of Management"
"amvgvse","Government of Sweden"
"amwitza","University of the Witwatersrand"
"anaaudk","Aarhus University"
"anceaar","Argentine National Academy of Economic Sciences"
"ancgvpt","Government of Portugal"
"aneccea","National Association of Economists and Accountants of Cuba"
"aneeeru","Russian Presidential Academy of National Economy and Public Administration (RANEPA)"
"anevaea","National Association of Romanian Valuers"
"angeeea","National Association of Graduate Studies in Economics"
"anliuse","Linkoping University"
"anpecea","Brazilian Association of Graduate Centers in Economics"
"anpnbid","Bandung State Polytechnic"
"anpnmid","Medan State Polytechnic"
"anzseea","Australia New Zealand Society for Ecological Economics - ANZSEE"
"aohiono","Østfold University College"
"aomorjp","Aomori Public College of Management and Economics"
"aoubgyu","University of Belgrade"
"aoubues","University of Burgos"
"apaeaea","Asia Pacific Applied Economics Association - APAEA"
"apam3fr","Aix-Marseille University"
"apapujp","Ritsumeikan Asia Pacific University"
"apdeaea","Portuguese Agricultural Economics Association"
"apdhavn","Academy of Policy and Development"
"apdrrea","Portuguese Association for Regional Development"
"apduuea","Association of Public Data Users - APDU"
"apeaaea","Asia Pacific Economic Association - APEA"
"apeccca","Atlantic Provinces Economic Council (APEC)"
"apeccsg","Asia-Pacific Economic Cooperation (APEC)"
"apecpsg","Asia-Pacific Economic Cooperation (APEC)"
"apeeeea","Association of Private Enterprise Education - APEE"
"apegvnc","Government of New Caledonia"
"apercjp","Institute of Energy Economics, Japan"
"apeskea","Association of Agricultural Economists in Slovakia"
"apessea","Portuguese Association for Health Economics"
"apettea","Association for Public Economic Theory - APET"
"apeydea","Peruvian Economics and Law Association"
"apfaaea","Asian Finance Association - AFA"
"apforca","Athenian Policy Forum (APF)"
"aphenea","Asia Pacific Health Economics Network - APHEN"
"aphesea","Portuguese Association for Economic History"
"apiiikw","Arab Planning Institute (API)"
"apirojp","Asia Pacific Institute of Research"
"apiuiea","Association of Lecturers in Economics and Management in the Industry - APIUI"
"apmonau","RMIT University"
"apneuvn","National Economics University"
"apnwcau","University of Newcastle"
"appamea","Association for Public Policy Analysis and Management - APPAM"
"appccph","Asia-Pacific Policy Center"
"appsuth","Prince of Songkla University"
"aprgvau","Government of Australia"
"apriaea","Asia Pacific Risk and Insurance Association - APRIA"
"aprneea","Agricultural Policy Research Network - APRNet"
"apsesea","Association of Economics and Social Sciences Teachers"
"apstaus","Stanford University"
"apumamw","University of Malawi"
"aqnavit","Parthenope University of Naples"
"aqrubes","University of Barcelona"
"arcbsdk","Copenhagen Business School"
"arcfdbg","Applied Research and Communications Fund (ARC Fund)"
"areaaea","American Rehabilitation Economics Association - AREA"
"aregvmr","Government of Mauritania"
"arereea","Research and Regulation Association"
"aresjea","Association for Real Estate Securitization - ARES"
"aressea","American Real Estate Society - ARES"
"arettea","Association of Independent Centers of Economic Analysis - ARETT"
"areuaus","University of Alabama-Tuscaloosa"
"areueea","American Real Estate and Urban Economics Association - AREUEA"
"areuuaf","Afghanistan Research and Evaluation Unit (AREU)"
"arfucbe","Binary file inst/arfucbe.rdf matches"
"ariaaea","American Risk and Insurance Association - ARIA"
"arigvcy","Government of Cyprus"
"arishjp","Nihon University"
"arkgvee","Government of Estonia"
"arlhade","Academy for Spacial Reasearch and Planning"
"arlseuk","London School of Economics (LSE)"
"armeaea","Armenian Economic Association - AEA"
"armklmy","Academy of Responsible Management (ARM)"
"armurau","Murdoch University"
"arqadfr","Toulouse School of Economics (TSE)"
"arsccea","Applied Regional Science Council - ARSC"
"artgvfr","Government of France"
"arulbbe","Free University of Brussels"
"aruwaau","University of Western Australia"
"aruweuk","University of the West of England"
"arwvuus","West Virginia University"
"asabeea","American Statistical Association, Business and Economic Statistics Section - ASA,B&E"
"asaeeea","Asian Society of Agricultural Economists - ASAE"
"asaesea","American Sociological Association, Economic Sociology Section"
"asanuau","Australian National University"
"asaueea","Argentine-Uruguayan Ecological Economics Association"
"asbbsea","American Society of Business and Behavioral Sciences - ASBBS"
"asbklmy","Asia School of Business"
"asceeea","Association for the Study of the Cuban Economy - ASCE"
"ascihin","Administrative Staff College of India (ASCI)"
"asclenl","African Studies Center (ASC)"
"ascuiid","University of Indonesia"
"asdebvn","Asian Development Bank"
"asdeqea","Association of Quebec Economists"
"asdevph","Asian Development Bank"
"aseanid","Association of Southeast Asian Nations (ASEAN) Secretariat"
"aseanjp","Association of Southeast Asian Nations (ASEAN)"
"asecobj","African School of Economics"
"asectea","Association of Tunisian Economists"
"asecuea","Association of Economic Universities of South and Eastern Europe and the Black Sea Region - ASECU"
"aseeeea","Association for Social Economics - ASE"
"aseeero","Bucharest Academy of Economic Studies"
"asepeea","International Association for Applied Economics"
"asepuea","Spanish Association of Accounting University Professors"
"aseriit","Catholic University of the Sacred Heart"
"aseuuaz","Azerbaijan State Economic University (UNEC)"
"asfeeea","French Economics Association"
"asfmrea","American Society of Farm Managers and Rural Appraisers - ASFMRA"
"asgeeea","Association for the Study of the Grants Economy - ASGE"
"asheeea","American Society of Health Economists - ASHEcon"
"ashefea","American Society of Hispanic Economists - ASHE"
"ashitjp","Hitotsubashi University"
"asiesgt","Social Research and Studies Association"
"asimmea","Italian Association for the Study of Economic Asymmetries"
"asinmph","Asian Institute of Management"
"asinrgp","National Institute for Agricultural Research"
"asleaea","Asian Law and Economics Association - ASLEA"
"asmecea","Association marocaine d'études et de recherches en économie islamique - ASMECI"
"asmndin","Apeejay School of Management"
"asnauua","Sumy National Agrarian University"
"aspeeea","Association for Studies in Public Economics - ASPE"
"asrdlea","French Language Regional Science Association"
"asrecea","Association for the Study of Religion, Economics, and Culture - ASREC"
"asresea","Asian Real Estate Society - AsRES"
"assetea","Association of Southern European Economic Theorists - ASSET"
"astgvba","Government of Bosnia and Herzegovina"
"astreit","University of Trento"
"astriea","Association for interdisciplinary Study and Research of Labor"
"asueyam","Armenian State University of Economics (ASUE)"
"asunamx","National Autonomous University of Mexico"
"asuvanl","University of Amsterdam"
"aszgvhu","Government of Hungary"
"atcgvau","Government of Australia"
"atheaea","Austrian Health Economics Association - ATHEA"
"athpfea","Athenian Policy Forum - APF"
"atineea","Athens Institute for Education and Research - ATINER"
"atiupza","University of Pretoria"
"atlasus","Atlas Economic Research Foundation"
"atlcous","Atlantic Council"
"atmtahu","Centre for Economic and Regional Studies"
"atnswau","UNSW Sydney"
"atogvau","Government of Australia"
"atrgvbe","Government of Belgium"
"atrgvil","Government of Israel"
"atrgvus","Government of the United States"
"atuchus","University of Chicago"
"aubasch","University of Basel"
"auberea","Association for University Business and Economic Research - AUBER"
"audaxpt","Lisbon University Institute"
"audenfr","Audencia Nantes School of Management"
"audheea","Uruguayan Association for Economic History"
"auebugr","Athens University of Economics and Business (AUEB)"
"aueuhus","University of Houston-Clear Lake"
"aufeecn","Anhui University of Finance and Economics"
"aukthse","Royal Institute of Technology"
"aumacea","Australasian Macroeconomics Society - AMS"
"aunlpar","National University of La Plata"
"auseeea","University Association for European Studies"
"aushaae","American University of Sharjah"
"austlea","Australian Law and Economics Association - AustLEA"
"avenich","Foundation for the Future of Switzerland"
"avfbuhu","Budapest College of Management"
"avkluat","Alpen-Adria University of Klagenfurt"
"avtucde","Clausthal University of Technology"
"awakwat","Chamber of Labour"
"awepoea","African Women's Economic Policy Network - AWEPON"
"awheide","University of Heidelberg"
"awigvat","Government of Austria"
"awkobde","University of Koblenz-Landau"
"awmaide","University of Mainz"
"awpbsch","University of Basel"
"awtbsch","University of Basel"
"aximtit","IMT Lucca Institute for Advanced Studies"
"azegval","Government of Albania"
"babeaus","Arcadia University"
"bacarus","Carroll College"
"bacasom","College of Applied Sciences"
"bacmuqa","Carnegie Mellon University in Qatar"
"bacokus","Coker College"
"bacssus","California State University-Sacramento"
"bacucae","City University College of Ajman"
"badeasd","Arab Bank for Economic Development in Africa"
"badorus","Dordt College"
"badvlus","DeVry University"
"badvpus","DeVry University"
"baejcus","Jamestown College"
"baewuus","East-West University"
"bafgvde","Government of Germany"
"bafinde","Government of Bavaria"
"baiphph","Bankers Institute of the Philippines (BAIPHIL)"
"bakkkch","Basel Economics"
"balabde","Government of Bavaria"
"balasea","Business Association of Latin American Studies - BALAS"
"balimus","Limestone College"
"balkaau","Balkanu Development Corporation"
"bamclus","Massachusetts College of Liberal Arts"
"bamgvma","Bank Al-Maghrib"
"bamilus","Milligan College"
"bamsjus","College of Mount St. Joseph"
"banewus","Newberry College"
"banfeid","Bandung Fe Institute"
"bangvmx","Bank of Mexico"
"banneus","Benjamin Banneker Center for Economic Justice"
"bapeaus","Peace College"
"bapepus","Pepperdine University"
"bapgvid","Government of Indonesia"
"bapmcus","Pine Manor College"
"bapscus","Paul Smith's College"
"bapsmus","Pennsylvania State University-Mont Alto"
"bapsuus","Pennsylvania State University"
"baquius","Aquinas College"
"bargses","Barcelona School of Economics (BSE)"
"barnado","Barna Business School"
"baroaus","Roanoke College"
"barpbus","University of Arkansas-Pine Bluff"
"basebin","Bengaluru Dr. B. R. Ambedkar School of Economics (BASE) University"
"basgvde","Government of Germany"
"bashsus","Sam Houston State University"
"basifca","Balsillie School of International Affairs"
"basmwus","Saint Mary-of-the-Woods College"
"basrilv","Banking Institution of Higher Education"
"bastade","Government of Bavaria"
"bastmus","University of Saint Mary"
"bastous","Stonehill College"
"batabus","Tabor College"
"batrnus","Trinity Christian College"
"baucfus","University of Central Florida"
"bawarus","Wartburg College"
"bawgvde","Government of Germany"
"bawirde","BAW Institute for Regional Economic Research"
"bawmpus","William Penn University"
"bayesbo","Bayesian Institute for Research and Development"
"baznaid","Government of Indonesia"
"bbabeyu","Belgrade Banking Academy"
"bbahbtr","Ankara Haci Bayram Veli University"
"bbbhauk","University of Birmingham"
"bbbsuus","Ball State University"
"bbclaus","Clarion University of Pennsylvania"
"bbcnuus","Christopher Newport University"
"bbetsus","East Tennessee State University"
"bbgaztr","Haci Bayram Veli University"
"bbmdfde","Government of Brandenburg"
"bbmwmde","Government of Brandenburg"
"bbsssbr","Brazilian Business School (BBS)"
"bbstade","Government of Brandenburg"
"bbtucgr","Technical University of Crete"
"bbuarus","University of Arkansas"
"bbunlus","University of Nebraska"
"bbunmus","University of New Mexico"
"bbwvuus","West Virginia University"
"bcbenke","Busara Center for Behavioral Economics"
"bcbgvbn","Brunei Darussalam Monetary Authority"
"bcbgvbo","Central Bank of Bolivia"
"bcbgvbr","Central Bank of Brazil"
"bcbgvbs","Bahamas Central Bank"
"bcccces","Basque Centre for Climate Change (BC3)"
"bccgccd","Central Bank of Congo"
"bccgvcl","Central Bank of Chile"
"bccgvcu","Central Bank of Cuba"
"bccgvkm","Central Bank of Comoros"
"bccrrcr","Central Bank of Costa Rica"
"bcdegus","Government of Delaware"
"bceaosn","Central Bank of the West African States"
"bcebsch","University of Basel"
"bcegvec","Central Bank of Ecuador"
"bcgsuus","Georgia Southern University"
"bchgvhn","Central Bank of Honduras"
"bcieehn","Centralamerican Bank for Economic Integration"
"bcjwuus","Johnson and Wales University"
"bclgvlu","Central Bank of Luxembourg"
"bcmeica","Government of British Columbia"
"bcmfcca","Government of British Columbia"
"bcmolca","Government of British Columbia"
"bcngvni","Central Bank of Nicaragua"
"bcpgvpy","Central Bank of Paraguay"
"bcprius","Princeton University"
"bcraaar","Central Bank of Argentina"
"bcrgvdo","Central Bank of the Dominican Republic"
"bcrgvgn","Central Bank of the Republic of Guinea"
"bcrgvpe","Central Bank of Peru"
"bcrgvsv","Federal Reserve Bank of El Salvador"
"bcscucn","Sichuan University"
"bcstaca","Government of British Columbia"
"bcsuruk","University of Surrey"
"bctgvtn","Central Bank of Tunisia"
"bctgvtp","Central Bank of Timor-Leste"
"bcugvuy","Central Bank of Uruguay"
"bcusaus","University of South Alabama"
